Record,NoiseType,SNR_Level,SNRI,RMSE,PSNR
117,ma,0.0,8.278939,0.07942694,27.047668
200,ma,1.25,8.114676,0.118874826,29.035017
232,ma,5.0,2.9394472,0.05467424,27.890902
100,ma,1.25,8.349435,0.06123099,29.084074
116,bw,1.25,15.74273,0.07556906,35.573067
100,bw,1.25,8.505896,0.06005333,29.253134
222,bw,0.0,4.556419,0.076704465,24.63459
210,em,5.0,8.158803,0.053518128,30.457724
208,em,0.0,9.550517,0.13604972,26.872974
220,bw,5.0,8.523899,0.06735892,34.43296
103,bw,0.0,18.710096,0.035037532,37.07064
117,bw,5.0,4.876597,0.066084154,28.645756
103,em,0.0,13.345969,0.06507337,31.707184
113,ma,1.25,7.4467874,0.1403409,26.071754
124,bw,0.0,12.374757,0.09043369,30.13431
112,ma,0.0,5.6743054,0.09515259,23.132032
214,bw,5.0,5.7603655,0.1298232,29.40277
119,ma,5.0,8.130393,0.11555088,31.544933
123,bw,1.25,14.840794,0.04276629,37.249924
201,bw,1.25,8.537477,0.054267164,30.14974
207,em,5.0,0.11473152,0.16201577,21.215864
201,ma,0.0,8.840595,0.060384717,29.194857
201,em,0.0,7.265597,0.07187948,27.624693
106,bw,1.25,10.384723,0.09020034,30.274244
217,ma,0.0,7.5042434,0.24478807,24.072308
219,ma,1.25,13.376851,0.08158556,32.17276
115,em,5.0,6.836644,0.079200275,32.624485
223,bw,1.25,17.32968,0.04620639,35.711464
119,bw,5.0,8.768359,0.10707332,32.18659
215,bw,0.0,13.375553,0.058398563,32.31581
234,em,0.0,13.227847,0.06312079,30.090876
113,em,1.25,6.577799,0.15531369,25.206078
230,em,1.25,10.582357,0.08502387,32.134075
203,bw,5.0,6.446208,0.115716904,30.476902
109,bw,5.0,7.819544,0.10197156,28.341747
113,em,5.0,3.1690645,0.14927565,25.54734
228,bw,0.0,4.720241,0.13877004,24.632408
103,bw,5.0,14.767153,0.030932758,38.127697
213,bw,5.0,14.103997,0.06806523,35.547012
223,bw,5.0,14.41752,0.04208181,36.549305
115,ma,1.25,10.503953,0.080126695,32.534077
103,bw,1.25,17.83761,0.03350348,37.448154
233,bw,5.0,6.653893,0.13591456,29.79018
215,bw,5.0,8.574872,0.057198666,32.515125
230,bw,0.0,15.409031,0.05720478,35.714466
213,ma,5.0,11.859055,0.088153034,33.303356
223,ma,1.25,14.615311,0.063342705,33.006706
208,ma,5.0,7.3669095,0.09874032,29.694317
209,em,5.0,5.782486,0.06822292,30.158049
203,ma,1.25,9.185908,0.12974466,29.46307
233,ma,5.0,6.316446,0.14122431,29.457373
119,ma,1.25,11.0836115,0.12700795,30.748158
202,ma,0.0,11.420693,0.06810885,28.93297
212,bw,1.25,8.829712,0.094113626,27.59376
105,em,1.25,11.670808,0.07634967,29.753412
103,ma,5.0,12.25732,0.041718107,35.60968
111,bw,5.0,10.226544,0.032523975,32.894077
233,em,5.0,5.1255155,0.16157727,28.270164
213,em,1.25,12.983022,0.11981165,30.681242
210,bw,1.25,15.033358,0.0379513,33.573257
108,em,1.25,3.5871117,0.10305531,23.69998
