Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
0.3400,21346.000000,-0.597397
0.3420,21274.000000,-0.620737
0.3440,21206.000000,-0.639908
0.3460,21144.000000,-0.655471
0.3480,21081.000000,-0.668460
0.3500,21009.000000,-0.679438
0.3520,20926.000000,-0.690287
0.3540,20852.000000,-0.702280
0.3560,20760.000000,-0.715382
0.3580,20698.000000,-0.730272
0.3600,20628.000000,-0.746479
0.3620,20274.000000,-0.762781
0.3640,20207.000000,-0.778952
0.3660,20148.000000,-0.794202
0.3680,20069.000000,-0.808394
0.3700,20013.000000,-0.822194
0.3720,19958.000000,-0.835160
0.3740,19914.000000,-0.847815
0.3760,19866.000000,-0.861074
0.3780,19795.000000,-0.874456
0.3800,19727.000000,-0.888030
0.3820,19653.000000,-0.901262
0.3840,19598.000000,-0.912486
0.3860,19529.000000,-0.921391
0.3880,19445.000000,-0.927911
0.3900,19386.000000,-0.931928
0.3920,19338.000000,-0.934117
0.3940,19298.000000,-0.934520
0.3960,19240.000000,-0.933405
0.3980,19211.000000,-0.931605
0.4000,19151.000000,-0.929400
0.4020,19109.000000,-0.927559
0.4040,19075.000000,-0.926437
0.4060,19044.000000,-0.925176
0.4080,18998.000000,-0.923191
0.4100,18978.000000,-0.919732
0.4120,18991.000000,-0.914882
0.4140,18989.000000,-0.910192
0.4160,18994.000000,-0.905724
0.4180,19013.000000,-0.900325
0.4200,19012.000000,-0.893021
0.4220,19038.000000,-0.882511
0.4240,19066.000000,-0.868872
0.4260,19094.000000,-0.853814
0.4280,19101.000000,-0.839343
0.4300,19141.000000,-0.827221
0.4320,19198.000000,-0.816504
0.4340,19246.000000,-0.803717
0.4360,19300.000000,-0.785269
0.4380,19363.000000,-0.757831
0.4400,19426.000000,-0.721317
0.4420,19500.000000,-0.680119
0.4440,19569.000000,-0.639522
0.4460,19642.000000,-0.604666
0.4480,19692.000000,-0.578306
0.4500,19867.000000,-0.558040
0.4520,19969.000000,-0.539477
0.4540,20092.000000,-0.518316
0.4560,20196.000000,-0.491693
0.4580,20276.000000,-0.461351
0.4600,20380.000000,-0.431050
0.4620,20491.000000,-0.403391
0.4640,20570.000000,-0.379983
0.4660,22148.000000,-0.359790
0.4680,22226.000000,-0.340313
0.4700,22319.000000,-0.320149
0.4720,22421.000000,-0.298334
0.4740,22496.000000,-0.275492
0.4760,22578.000000,-0.253494
0.4780,22639.000000,-0.232825
0.4800,23531.000000,-0.213625
0.4820,23570.000000,-0.195635
0.4840,23586.000000,-0.177466
