Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
0.3660,-5342.000000,0.109195
0.3680,-5386.000000,0.108879
0.3700,-5423.000000,0.106227
0.3720,-5472.000000,0.107922
0.3740,-5495.000000,0.110309
0.3760,-5549.000000,0.111460
0.3780,-5553.000000,0.110118
0.3800,-5621.000000,0.104768
0.3820,-5734.000000,0.102399
0.3840,-5771.000000,0.103872
0.3860,-5869.000000,0.103730
0.3880,-5902.000000,0.102680
0.3900,-5872.000000,0.098720
0.3920,-5871.000000,0.094185
0.3940,-5939.000000,0.096546
0.3960,-5942.000000,0.099612
0.3980,-5985.000000,0.098776
0.4000,-6005.000000,0.097440
0.4020,-6112.000000,0.093551
0.4040,-6164.000000,0.092335
0.4060,-6216.000000,0.096366
0.4080,-6283.000000,0.095404
0.4100,-6291.000000,0.091843
0.4120,-6327.000000,0.088857
0.4140,-6379.000000,0.082402
0.4160,-6434.000000,0.082052
0.4180,-6469.000000,0.085931
0.4200,-6567.000000,0.080446
0.4220,-6570.000000,0.073309
0.4240,-6642.000000,0.069930
0.4260,-6704.000000,0.067457
0.4280,-6750.000000,0.070851
0.4300,-6749.000000,0.071610
0.4320,-6852.000000,0.063106
0.4340,-6907.000000,0.057342
0.4360,-6863.000000,0.056456
0.4380,-6927.000000,0.058021
0.4400,-6978.000000,0.060250
0.4420,-7066.000000,0.053751
0.4440,-7177.000000,0.044046
0.4460,-7179.000000,0.040708
0.4480,-7177.000000,0.039699
0.4500,-7232.000000,0.040654
0.4520,-7207.000000,0.037789
0.4540,-7305.000000,0.026169
0.4560,-7351.000000,0.018297
0.4580,-7374.000000,0.016025
0.4600,-7482.000000,0.015475
0.4620,-7531.000000,0.018294
0.4640,-7613.000000,0.012036
0.4660,-7686.000000,-0.001214
0.4680,-7718.000000,-0.003596
0.4700,-7691.000000,-0.001676
0.4720,-7746.000000,-0.001989
0.4740,-7810.000000,-0.003629
0.4760,-7870.000000,-0.015181
0.4780,-7942.000000,-0.026385
0.4800,-8021.000000,-0.024093
0.4820,-8071.000000,-0.019349
0.4840,-8108.000000,-0.021052
0.4860,-8107.000000,-0.031677
0.4880,-8145.000000,-0.044766
0.4900,-8231.000000,-0.046760
0.4920,-8257.000000,-0.045459
0.4940,-8295.000000,-0.048796
0.4960,-8351.000000,-0.052784
0.4980,-8447.000000,-0.063408
0.5000,-8532.000000,-0.072233
0.5020,-8566.000000,-0.068730
0.5040,-8576.000000,-0.069521
0.5060,-8575.000000,-0.077884
0.5080,-8600.000000,-0.085326
0.5100,-8684.000000,-0.093553
0.5120,-8742.000000,-0.095205
0.5140,-8812.000000,-0.094159
0.5160,-8776.000000,-0.102073
0.5180,-8945.000000,-0.109553
0.5200,-8978.000000,-0.115903
0.5220,-9020.000000,-0.122784
0.5240,-9030.000000,-0.119656
0.5260,-8989.000000,-0.117960
0.5280,-9102.000000,-0.126404
0.5300,-9106.000000,-0.132901
0.5320,-9147.000000,-0.136733
0.5340,-9181.000000,-0.136916
0.5360,-9211.000000,-0.135247
0.5380,-9305.000000,-0.143165
0.5400,-9347.000000,-0.152215
0.5420,-9389.000000,-0.156066
0.5440,-9452.000000,-0.160636
0.5460,-9432.000000,-0.161417
0.5480,-9455.000000,-0.166271
0.5500,-9508.000000,-0.180459
0.5520,-9548.000000,-0.189435
0.5540,-9624.000000,-0.195916
0.5560,-9764.000000,-0.201208
0.5580,-9782.000000,-0.198980
0.5600,-9790.000000,-0.203009
0.5620,-9777.000000,-0.210482
0.5640,-9824.000000,-0.211243
0.5660,-9879.000000,-0.215677
0.5680,-9873.000000,-0.213989
0.5700,-9884.000000,-0.202672
0.5720,-9928.000000,-0.204506
0.5740,-9928.000000,-0.213548
0.5760,-9997.000000,-0.219609
0.5780,-10104.000000,-0.228954
0.5800,-10136.000000,-0.233837
0.5820,-10111.000000,-0.238928
0.5840,-10148.000000,-0.251708
0.5860,-10150.000000,-0.258547
0.5880,-10208.000000,-0.262763
0.5900,-10199.000000,-0.268307
0.5920,-10246.000000,-0.264948
0.5940,-10336.000000,-0.263235
0.5960,-10366.000000,-0.269151
0.5980,-10449.000000,-0.271578
0.6000,-10430.000000,-0.270428
0.6020,-10448.000000,-0.267207
0.6040,-10450.000000,-0.266512
0.6060,-10506.000000,-0.273789
0.6080,-11104.000000,-0.279690
0.6100,-11144.000000,-0.281309
0.6120,-11137.000000,-0.281322
0.6140,-11119.000000,-0.279902
0.6160,-11242.000000,-0.286866
0.6180,-11304.000000,-0.297938
0.6200,-11373.000000,-0.299958
0.6220,-11362.000000,-0.299040
0.6240,-11364.000000,-0.300550
0.6260,-11414.000000,-0.309830
0.6280,-11424.000000,-0.327367
0.6300,-11411.000000,-0.331604
0.6320,-11404.000000,-0.326094
0.6340,-11515.000000,-0.330195
0.6360,-11615.000000,-0.328832
0.6380,-11651.000000,-0.321853
0.6400,-11676.000000,-0.329060
0.6420,-11697.000000,-0.336335
0.6440,-11694.000000,-0.332747
0.6460,-11731.000000,-0.331643
0.6480,-11776.000000,-0.334090
0.6500,-11797.000000,-0.335262
0.6520,-11822.000000,-0.335974
0.6540,-11925.000000,-0.335323
0.6560,-11953.000000,-0.331112
0.6580,-11964.000000,-0.325032
0.6600,-11992.000000,-0.324854
0.6620,-11957.000000,-0.327114
0.6640,-11944.000000,-0.323063
0.6660,-11961.000000,-0.322217
0.6680,-12009.000000,-0.327412
0.6700,-11949.000000,-0.331251
0.6720,-11925.000000,-0.340068
0.6740,-12015.000000,-0.349862
0.6760,-12065.000000,-0.349296
0.6780,-12044.000000,-0.344214
0.6800,-11996.000000,-0.338024
0.6820,-11942.000000,-0.331950
0.6840,-11891.000000,-0.329832
